# SPDX-License-Identifier: MIT
# SPDX-FileCopyrightText: 2025-2026 OpenCHAMI a Series of LF Projects, LLC
# Starter policy for Fabrica-generated services.
#
# TokenSmith evaluates the caller's normalized roles using Casbin subjects in the
# form role:<name>. Start simple, then tailor these tuples for your deployment.

# Node
p, role:viewer, /nodes, GET
p, role:viewer, /nodes/{uid}, GET

p, role:editor, /nodes, GET
p, role:editor, /nodes/{uid}, GET
p, role:editor, /nodes, POST
p, role:editor, /nodes/{uid}, PUT
p, role:editor, /nodes/{uid}, PATCH
p, role:editor, /nodes/{uid}/status, PUT
p, role:editor, /nodes/{uid}/status, PATCH

p, role:admin, /nodes, GET
p, role:admin, /nodes/{uid}, GET
p, role:admin, /nodes, POST
p, role:admin, /nodes/{uid}, PUT
p, role:admin, /nodes/{uid}, PATCH
p, role:admin, /nodes/{uid}, DELETE
p, role:admin, /nodes/{uid}/status, PUT
p, role:admin, /nodes/{uid}/status, PATCH

# Add deployment-specific tuples below.
